Author,Comment
@stephenshaw3942,"Well it changed my mind about you ❤❤❤"
@yourboybrothers9459,"Ain&#39;t even gonna lie this song if fire 🔥"
@SwagMonztr,"I appreciate you Colleen.<br><br>I understand what you’re going through and have been through similar life ruining slander and betrayal myself.<br><br>Appreciate your art piece here and the message is wonderful.<br><br>Thankyou for expressing, persisting and overall existing,<br><br>Much love❤"
@sophieadams4155,"Please everyone think before you say things as it&#39;s so easy to jump to conclusions.<br>Even if she made mistakes she isn&#39;t the same person she is now.<br>Don&#39;t hold things against her because she made fart jokes.<br>Overall just please be kind ♥"
@ahcatwingsmew2323,"Im going to quote this for the rest of my life"
@zioncardman18,"I&#39;M YELLING CAUSE EVERYONE ELSE IS YELLING!"
@ThrowACrocAtItPod,"Also stop hating on her she will post another video just wait"
@maliyahhope9763,"I LOVE YOU COLLEEN! Everyone makes mistakes, you’re just on the internet where the whole world can judge you. You matter and you’ve helped many people, including me. Keep going 🤍"
@joshuaisbored2449,"So when is this on spotify?"
@hollywallace4554,"I love you Colleen"
@Notsofunny01,"&quot;They didn&#39;t say I couldn&#39;t sing&quot;"
@ThrowACrocAtItPod,"You are awesome love you Colleen you have inspired me so much 🎉❤❤❤❤❤"
@LaceJellyfish,"“People weren’t going to be happy with anything that she said in response, even an apology, the internet is such a hate mob” is such a great cope."
@jaydenbrown927,"Colleen I truly LOVE you and I know you might not read this but I hope you know that just cause you made a mistake however many years ago I believe you have tried you’re hardest to redeem yourself"
@norissameyer1995,"The haters who are talking trash …. Who have wantched her for years now have watched her grow … mistakes happen . She’s human and she’s admitting how she feels . She’s a person too just like me and you …and everyone else on the internet …. She’s still an amazing person . In my books . I love you and your content . Your one of the fair actual genuine person . Seems genuine people are rare in 2023 now … i still support you Colleen . Your true fans and friends and family  will always stand by you . *hugs *"
@MajorPhilGraves,"Y&#39;all need Jesus"
@skillz8999,"They didnt say i couldn&#39;t Ssiiiiiingggg"
@quetzsmith3469,"What is this"
@abigailo5920,"This song is taken as insensitive , but knowing Colleen it’s her way of showing that she cares."
@cheesynarcissismn,"When is it dropping on Spotify🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥"
@iluvnyala,"Is this on Spotify?"
@semthedecorator,"This is so 2020.😆😐"
@alainavr,"I honestly hate to think that people are trying to cancel her. Cancel culture is horrible. There is no way that she is a groomer she has children herself. I dont get it"
@sorullin2360,"I’m uh-"
@crowdctrl1352,"WHEN THE ALBUM??"
