Author,Comment
@chloesibrel1126,"I love you ❤❤❤❤"
@GagIsTheBestrevenge-pl4dv,"What woow"
@adamoconnor5710,"I love you Colleen ❤ always have and always will. No matter what bullshit people make up. They are all jealous fuckers."
@lupitafernandez8823,"She still ate!!"
@Dragon-ob8is,"Number 1 billboard coming"
@AnneMarte1989,❤❤❤
@swilsonsmyname,"I just wanted you to know although i wasnt there for this guys claim days and havent really watched miranda, i have watch you throughout all three kids and enjoy your channel. I cant see the side of you they are trying to put out and even so i can tell even if some parts you admitted were mistakes and you owned up to it. You are only human colleen. You are not who you were and even then i do not think you were like they are trying to insinuate: people grow and learn at any rate and you are no difference and do not deserve to be torn apart. Pleas do not let them destroy you and although its hard when it seems like everyone is against you- they arent. Im not and i do not think you are horrible. I dont know what happened in the past but it is the past. One thing i know is you have three beautiful children that need their mommy. Show them your strength and how you persevere through troubled times. Please keep your head up."
@ev5579,"What do you guys want?! She literally said she didn&#39;t have any bad intentions!!! Come on she is a mother of 3...you are all ridiculous ppl behind a screen!!"
@monkeyflavour9402,"Im rooting for you so hard because your videos make my day and make me smile so bad but girl i think you maybe shoulda listened to your team. The song does slap but like, everyone is looking at the ukelele and not the words"
@AnneMarte1989,"I teared up when I saw you had posted! ❤ My mind is not changed about you. Not your video and not any of the s**t I&#39;ve seen in the last few weeks. You are just a human like everyone of us. Careing, loveing, funny, smart, strong.. With and without mistakes... I&#39;m so so so sorry you have to go through this! Sending love and hugs your way.  Stay strong, Colleen. You don&#39;t deserve this..❤❤❤"
@scram8280,"Everyone makes mistakes. Two sides to every story. I&#39;m sorry this has happened😢"
@gaylenejohnson5052,"Omg she made some mistakes in her past. I bet everyone who is calling her namea never made mistakes to and haven’t taken accountability for it. Think as if this is happening to you won’t be funny if it did. Leave her alone"
@andrewwgutierrez,YESSSS
@purpledomo4448,"On Spotify when"
@shrekishawtt3562,"youn need to rrealease this song 😍😍😍😍😍😍😍😍😍😍😍😍😍😍love the runs"
@DontGiveAF_ck,"Colleen, this is literally the best video! Im sorry you have to go through all of this crapm there isnt any victims or traumatized people. Theyre all just being dramatic and sensitive. I hope you win in all legal battles. Keep your head up for your family! This will all blow over. ❤ We&#39;re here for you for whenever you come back!"
@STARYSTORYTIMES,"I LOVE THIS IM SORRY COLEEEN!"
@osnapitzlaura,"yes you are a human and we all make mistakes. I&#39;m seeing you in boise so im excited &lt;3"
@shaynah7866,"stay strong ❤❤❤❤❤"
@karenglove,"You look annoyed angry and frustrated and I enjoyed watching that immensely. Good on you girl!  👍🏻😁 I like seeing this side of you."
@JackieHall71,"I wouldn&#39;t listen to all the bull crap that they were posting.  I have been waiting for you to come back knowing it would take a bit.  Hang in there.  Sorry, this is happening.  Hope your family is doing alright and I hope you are alright as well."
@maggienisrina3775,"Sending you so much love ❤ You&#39;re so strong, Colleen. We love and miss you so much ❤ Sending you all the hugs"
@TheHannahtherese,"Love this. People are bored. You got this. People are bored with their lives and just tryna fit in. You will always have support from me and you loyal fans. Everyone messes up in life, if people brought up with I did 10 years ago I would also be cancelled. Everyone would. So much love to you and your family ❤❤❤❤"
@nealdolphin,"Love it!❤"
@caitlin24578,"Omg I know she mad some mistakes but she regrets her mistakes and she didn’t mean anything bad by it. I love Colleen and I miss her daily vlogs with the chickens and tortilla talk and everything she did in her vlogs. I wish you guys would stop being mean and here her side of the story."
@Rose-yd7bn,"So sad…. I don’t believe the crap they are saying about you….. the world turned to shit because of the internet…."
@KimLarocquemuse,"I miss you Colleen. I am so so sorry you are going through this.  I support you 100% and KNOW that you are a wonderful human in the line of toxic fire ... it&#39;s so unfair."
@xxxx-hm9ko,cornball
@danhalen2579,"Y’all need to let her handle stuff the way she wants. It’s her life"
@lorifisher8257,"I still luv you Colleen🫶🫶"
@luciaa2226,"I mean we all gotta calm down. She chose to expose herself but no one is perfect. I really think she’s changed, people change and try to be better. We should all try and be better than yesterday, seriously who are we to judge people by their past??"
@KaileyShae,"Love you."
@alaynapigott,"Idk y’all I love this girl 😂😂 she ate"
@3BrittneyNicole,"We are witnessing history rn 🫡"
@MichelleCote-uw4jg,"leave her alone. <br>this should be discussed and dealt with her lawyers/agent she doesn’t need to apologize to anyone, we all make mistakes and we are all humans. nobody is perfect. <br>stop commenting nasty comments on her video, that isn’t good for her mental health and you don’t know what that can do to her."
@strwbun,"this is the besttttttt."
@aliceandrews5048,"This was perfect."
@ariana.5038,🧍🏽‍♀️🧍🏽‍♀️🧍🏽‍♀️🧍🏽‍♀️🧍🏽‍♀️🧍🏽‍♀️🧍🏽‍♀️🧍🏽‍♀️🧍🏽‍♀️🧍🏽‍♀️
@PGNAmon,nice
@karenguzman351,"It is sad how everything she’s worked for her life is crumbling down. People make mistakes and it sad that some are publicized"
@angelaharris4991,"I love you so much and i will always support you you help me through so much.❤"
@destinymarie769,"I believe that she didn&#39;t have any bad intentions I mean she did some weird stuff but I don&#39;t believe that by heart she&#39;s bad person"
@ryanmartin8704,❤
@emilywalker7916,"I love you Colleen. I miss you videos I watched every single one since before Flynn was born. I hope you come back."
@nickywiggles4596,Bruh.
@aidantreto,"SONG OF THE SUMMER JUST DROPPED!! 🔥🔥"
@strwbun,"this is so smart"
@carismajones3277,"i fucking love the internet so much"
@jacquelinemorgan9160,"Not me in my head playing that office gif of Michael screaming “omg it’s happening, everybody calm down. CALM TF DOWN!!” 😂 But you have no idea how EXCITED I AM TO SEE AND HEAR YOUR VOICE QUEEN. It’s like that feeling when your friend has been grounded for 3 weeks and then they finally get to come back out and hang out with you again. Everything in your song is what your army has been saying all along. We love ya weird auntie, bff, cousin, sister, all the things you are to us 💞 Also, the ending literally made me throw my head back and cackle laugh. ILYSM ❤️‍🩹"
@marcydovale,O.o
@raynasworld7610,"Lol 😂 ily Colleen"
@emthedoo,"😧 &lt;- me this entire video"
@Maja-cy2ic,"Sending you a big hug - Remember that there are still so much love towards you in this fandom &lt;3<br>Love you &lt;3"
@Waytodxwn,"HE DIDNT SAYYYY I COULDNT SIIIIIIIIIIIINGGG"
@audreyl2673,"this was a slay"
@KittySerena,........
@kpopluvr,"i liked this song. :)"
@angelamisaki,"Hi Colleen, I don&#39;t know what happend this past couple of days/weeks, but I hope you know that people who cares about you are out there. Take care &lt;3"
@user-wf6sp1dn9x,"Love you  Colleen❤"
@angelina4885,"the beginning is giving cat from victorious singing “they didn’t say i couldn’t singgggg”😭😭😭"
@kazbah1000,"Love you 😘😘😘😘"
@haileysmith65,"Bro y’all thought all the shit she was doing years ago was funny but now everyone’s upset bc we live in a social media world of cancel culture… y’all are wack 😂"
@molliemyers7410,"I love you darling, stay safe please"
@kaile5050,"i just want to know how Applesauce is doing 🐔🥚🎭"
@gw2796,"haha sorry what😂😂 this was not on my list of apologies she was gonna do"
@addies.planet,"stop why did u eat"
@Iamjjrr1,"Ngl she would be great in a play 😭"
@ladyblueeyes,"👏👏👏 i love this response"
@MissMissAll,"What even happened? 😮"
@breecorlew6944,"we love you sweetie ❤"
@brockhall6144,"I don’t know what to think anymore"
@johnnynotty,"Don’t let the little bitter people dull your light. It’s jealousy on a next level."
@Shrinkingfatty,"You still have fans that love and support you."
@ib1112434,"I love you colleen miss the vlogs like I miss a dear friend."
@emmajoneagle6980,"I don&#39;t know the entire story with what kind of messages she sent to fans. But what I do know is it was forever ago. There&#39;s way worse well-known people still out there. Idk why this apology is hated when she could have listen to her team and not acknowledged anything, but she felt as if she needed to. She&#39;s come so far from where she started, she helps more then she&#39;s &quot;hurt&quot; since then. Like she said people say things and everyone feels like they want to be part of something by hating her. Your not just hurting her but the family she&#39;s grown and the loved ones that have to see her in distress. It&#39;s really sad, and I&#39;m not trying to validate anything that she has done. But I&#39;m sure u guys have forgiven friends and family that&#39;s done more then just text people trying to be funny in an inappropriate way. Sorry ur going through this love, I hope u come out on the other side and u have the strength to carry on despite. The internet is a cruel maze of funhouse mirrors. It&#39;s hard to navigate when everything so distorted. But it&#39;s easy to follow somebody else&#39;s lead when they think they know what&#39;s real. Just carry on and you&#39;ll find ur way out of this mess. 🩷🩶You still have fans🩷🩶"
@reganwallace398,"dont worry colleen this happened to Haley Bieber and now everyone is in her comments saying they love her after bullying her relentlessly just wait for the light at the end of the tunnel ❤❤"
@pilarkline6867,"sending positive thoughts your way.  You will get through this difficult time with the support of your family.."
@KayKay-tj6ng,"I mean to be fair she did already apologize years ago. It just saddens me to see how people are so quick to attack when no one knows the full story or intentions of anyone. I just think, she has 3 beautiful babies at home that are probably sensing something is wrong with their momma. Everyone has a life outside of social media guys. Most of us don&#39;t even know the half of it."
@JelenaProphet,"COLLEEN I LOVE YOU EVEN MORE! Keep it up! I agree!!!"
@ilikeowls11,"So happy to see this from you. You need to keep posting because that is the only way to reclaim this narrative. Things got as out of control as they did because you were too quiet. I love you Colleen. Please be well and take care of yourself"
@Claire_77,"I’ve missed seeing you. I know ur not but hope you’re keeping ok. Sending love and support to you xx❤xx"
@thefuckisasundai,"i love you colleen"
@jackporter2732,"Idc what people say, I still fully support, things have been twisted"
@mattiehtx,"i loved this"
@migdaliaramos5549,"Girl I love u and I know what ppl saing I know we all humans we are not perfict and been in the spot light ppl ganna find some to say just do u sending loves"
@reganwallace398,"None of you actually know her as a person, and only listen to what lies are going on online"
@jocelynbrown7106,💜💜💜💜💜
@kevinbenitez3565,"This is perfect i love you Colleen sending you love and hugs 🫂💌"
@susanmiller6023,"Colleen I will stand in front, behind you, to your left and right and above. I&#39;ve really missed you."
@christmaslightsuptilljanuary,"I’m sorry Colleen. I still support you ❤️"
@gabby9161,"Don’t worry Colleen your gonna get through this keep strong and don’t listen to the negativity social media is a toxic and horrible place keep your head up"
@txtechristine,"zero days without nonsense"
@ashleymeijer9809,"sending support and love your way! &lt;3"
@scxrletportxls..,"“they never told me I couldn’t sing” what in the ariana grande from victorious"
@azaraxy,"HE DIDN&#39;T SAYYYYYY I COULDN&#39;T SINNNGGGGGGGGGGG!!!!!"
@ev5579,"You can all be mad idc but I agree with Collen with everything she sings in this. You should really look into yourselves...are you all perfect? Some of you should put all this energy into your own lives and your environment."
@An-sd4yc,"Hey<br>Just wanted to say everything’s gonna be okay soon.❤People,well mostly children who are dramatizing this situation will just forget about this in a week or two like it always happens. Idk maybe some things were true but how i see it  just some people trying to get views and make some money and of course get attention with making you look bad🤦‍♀️<br>Hope you’re being strong and won’t give up cuz I’m still waiting for those everyday vlogs, Miss you💕"
@alyssacunningham3009,"Colleen, I LOVE YOU!!! I’ve never commented on a YouTube video EVER, but I have followed you for almost 10 years and you deserve SUPPORT!🤍🤍🤍 You are a hardworking, passionate person who is devoted to connecting with her fans. People grow and change, and if there’s anyone who recognizes that and takes accounts for it on social media it’s YOU, queen! It’s wrong for people to tear your life apart over a silly mistake and lies. I stand with you and you haven’t lost a fan here🤍"
@naradzib8111,❤
@krystalswarts9359,"I misss u … don’t let them win!!!"
@pepitoperez594,"I support you Colleen, people do make mistakes"
@MissAmyTV,"I love that this is her response. People are blowing this out of proportion. Enough with cancel culture! She apologized years ago… get the fuck over it! <br>There are real criminals out there and you are canceling a woman who apologized for this in the past, supports kids with cancer every year on her birthday, makes lighthearted videos about her sweet family. Give me a break! Y’all need therapy."
@lucijones5331,"I&#39;VE MISSED YOU SO MUCH😭😭😭😭"
@PierceLavoy,"Honestly, 10/10 song"
@iiluvvmeli,"if you guys know her she always makes songs to like talk about her emotions i think this was her way of at least saying something until she is allowed to make a sit down video and actually talk about everything in depth"
@littlebit6033,"Y’all really got nothing better to do. If I see the word victim one more time I’m gonna puke. Grow up. Get a life. Leave the girl alone.<br><br>Hang tight Coleen. The world is your oyster and they want the pearl you hold. Everyone just looking for a cash out. Re route. Re focus. 💜💜"
@waterbird1998,"You go Colleen!🥰🥰🥰🥰 Love you!  I don’t care what the haters think!"
@surefoot1970,"I do not care. Just keep putting out content. Let that beautiful voice sing."
@rogenamarieanderson4522,"Just wow!!!😮"
@MikeMizEm,GIRL-😭😭😭😭
@elenaaaa9285,goodnight
@danielleromero-eq7go,"Colleen did take accountability for what happened in the past and explaining the show is PG-13. Apparently everyone is tone deaf because she is explaining everything she has done was wrong and how she fucked up. I’m not making a excuses for her because honestly she is a great person, but shit everyone does wrong especially really hurting people. Nobody is perfect. She is not manipulating no one."
@niketabrowning6370,"I can see how hurt you are through this song - there is always three sides to every story - i have loved watching you and your family thankyou for sharing your life thus far"
@ritaakalele4801,"Awww hugs 😢❤"
@Iboughtthumbs,"You are so loved ❤"
@tel780,"This randomly came up and i don&#39;t have any context ..."
@ashleyhorn7088,"Ive missed you!!"
@unicornhypnotist,💗💖💞❤
@katienugent9343,"they didn’t say i couldn’t sing is giving that one episode of victorious where cat can’t talk"
@mollie8206,"This is 10 minutes of spitting facts 💯 <br>where is the song available on spotify? I wanna listen over and over again. I love you Colleen."
@izzycampbell,"this is the most disappointing comment section I&#39;ve ever seen lol y&#39;all gotta get outta here. internet culture is so weird. she&#39;s responding the only way she knows how, singing. Singing is her thing. Y&#39;all would&#39;ve said these things not matter how she resonded."
@ethanisking84,"Please ignore the allegations. None of them have any merit. We love you!"
@AmberC17,"Guess what everyone. It wouldn&#39;t have mattered how or what she said. It wouldn&#39;t have mattered if she apologized the way you or anyone else wanted. Shes absolutely correct. No one is going to care what she has to say. They wont believe it anyway. So why not do it however she damn well pleases"
@summererofeyeff5370,"Look, I understand that there have been more than small mistakes made in the past and that Colleen should take a little more accountability for that. However, as she said, people make mistakes at the end of the day, and I don&#39;t think it is on the public to constantly scrutinise her about it.<br><br>If you don&#39;t like it, simply don&#39;t watch. <br><br>Her actions with fans in the past went over the line; however, that doesn&#39;t mean that she is a terrible mother; I have watched her vlogs since she got pregnant with the twins and didn&#39;t have any doubt about her love and devotion for them. Sure, they are displayed in videos, but what person online doesn&#39;t do that? It&#39;s not only her, and it&#39;s something to look back at for memories.<br><br>Again I say if you dislike it, don&#39;t watch it. I will never understand how people think that it is ok to harass others. She is well aware of her mistakes and leaving harassing comments won&#39;t change that."
@reganwallace398,"I love you colleen"
@momo91292,"Loved the way your taking things, keep strong, move on and stop listening to the shit people say, we know you and miss you, hope to see u again and the kids soon! Take care"
@maruhernandez1690,"I’m proud of you responding to all the haters ❤ I know how it feels to be called names due to information that other people share that probably isn’t the whole truth, it’s heartbreaking. I’ve been watching your videos since day one and I’ve seen how much you grown and can’t wait to see you at your show and give you all my support 😌 keep your head up high, don’t let your past ruin what you’ve made. Your an amazing mother to your 3 kids, wife to eric and a friend to me through a screen 🥹 don’t forget that💟"
@gracekeating218,LMAOOOOOOOO
@squadgoals7365,"Hi Colleen I’ve been watching you forever and I’m truly sorry, you are 1000% the victim and no one deserves this disrespect I’m so sorry I love your videos I hope you will still post after this❤"
@morganmurchison612,"Guys she made a video taking accountability when this was brought up YEARS AGO."
@reina721,"I’m only three minutes into this at the moment and Colleen speaking to you as a mom and have been watching you for a very long time. I just want to give you a hug and to let you know that you are loved. And I respect the hell out of you and I think you’re truly an absolutely amazing person and I’m sorry that you’re going through this."
@MsSlcpunk,"people say this is a bad apologize but I don&#39;t think she is trying to even apologize lol<br>just a way to say she&#39;s fed up?"
@vito,"This is awesome."
@audreyann2123,"Omg Song of the summer?!!!😜"
@laurendemmon6233,"if people dont like you thats on them and it doesnt matter if they dont because there are still people who love you"
@danielabernal4961,"You are such an embarrassment LOL"
@samsamwich,"this video proves that you don’t truly understand how terrible your actions were. this isn’t about some “mob mentality” or “cancel culture.” you were harming actual CHILDREN AND TEENAGERS. please seek genuine help and do some reflecting."
@nightraven9918,"Colleen we all are here for you the things they are saying about you is awful and bang out of order and it’s not fair to you but we love you girl and your amazing xxxxx❤❤❤"
@crystalwahpoosywan,"Walk away move forward in life every one love colleen family kids husband are number one vlogs"
@Kelly-gr3re,"Colleen...hugs to you and your family...your great and such a wonderful mom and wife and friend...now I only know you by watching your videos and things...but your such a sweet talented woman...thank you for making us smile and happy..this will pass...just hold on to your loved ones and stay strong....I am truly sorry people are mean and how people are so quick to judge..I loved to see that you posted...I have been hoping to see you soon...love u take care and love yourself and enjoy your friends and family❤"
@emmasmith957,"Are you being fucking serious."
@Emilyreadsromance,"I love you girly ❤ keep your head up."
@crims0nchin,"PUT THE FUCKING UKELELE DOWNNNNNNN"
@brenmar88,"I missed Colleen!"
@nellmay7192,"<a href=""https://www.youtube.com/watch?v=ceKMnyMYIMo&amp;t=5m20s"">5:20</a> but what about you sexualising them on stage?"
@angelg0ld,"I love you ❤"
@peylynn9986,"I hope you are embarrassed. Shame on you."
@ShawnCoe3,"I can’t believe you’re back. Please don’t ever leave YouTube. We love you Colleen ❤"
@danteorlando4955,"take a picture y’all this is a cultural reset and we are the first to see it"
@juliamd08,"lol everyone in this comment section is mad because she called you out for having nothing better to do with your lives than dig up stuff people did YEARS ago and hold it against them"
@MiriamAl,"Just wanted to let you know that the whole internet might be in rage about this song and the whole situation but you are still someone I look up to as a strong af and truly loving momma. I followed your vlogs for the past two years while I became a Mom myself, Never really commenting but now I felt the need to… because everyone deserves love and support as a human being and you might have screwed up in your online past but you do so much in your personal Life for your children and Family and that‘s worth so much if Not even more. You might not be welcomed back in the online community for a while but I wish you only the best and all the love from your close Family and friends and you as a Human being are okay Just the way you are - with all your flaws and mistakes. Cause let‘s Not forget: we‘ve all got them. Difference is, ours are not presented and talked about all around the world… best wishes and cuddle the kiddos - M. ❤"
@emilyjanssen939,"Honestly best response ever"
@jade9608,"No way she thinks a fuck ass song is gonna fix everything"
@ritaakalele4801,"I Honestly don&#39;t know certain people anymore. None of us are perfect. Leave her alone. Are you fffff perfect."
@bigboy44110,"You guys don&#39;t understand, she took accountability... in private. Which explains why the fans that called her out with screenshots, powerpoint presentations, video clips, written accounts with a timeline ... never referenced this &#39;accountability&#39;. Because it was in private.<br><br>I bet you all feel silly. Not silly enough to go against your managing team that apparently told Colleen to not respond at all [wonder why that is]. And certainly not silly enough to pick up a uke and construct a song that seems more practiced than an apology directly to the people who brought this to light to begin with.<br><br>I bet you all feel very silly."
@lekc716,"Ok regardless of the real intentions behind this video…the song is good and she is very talented. We can’t deny that"
@jjrose736,"Colleen I know it’s hard to ignore the internet trolls. No one is perfect and everyone makes mistakes. I know you left this in the past and pray the bullying can stop. You are a great mother and wife and this too shall pass! Sending prayers! ❤"
@user-qe4zp4po1z,"Holy shit this is so bad"
@jessicabritton8750,"Why aren’t you posting this on your main channel? Don’t want people to actually see it? What the fuck is the fucking singling for"
@chipmonster4366,LOL
@lilbingbongsmixtape,"THE ENDING😭😭"
@RiniDiamandis,"lmao holy cheese, i hope they sue the crap out of you <br>you LITERAL predatory abuser. <br>&quot; i changed my behaviour&quot; <br>sis i hope more kids not omly wake up, but come forward to call you on this bs and they also show timestamps cos aint NO WAY <br>you &quot;just stopped&quot; randomly. BYE"
@edona3737,"Stay strong❤"
@blackpoolpovs1769,"SHE APOLOGISED AND TOOK ACCOUNTABILITY FOR THESE THINGS YEARS AGO!!!! Leave her alone. I support Colleen 100%"
@urmom-kd7km,"there’s no way this is real girl pleasee delete this"
@tdans17,"😂😂This is funny."
@clarino910,"Dropping on Spotify?"
@emilyli4274,"literally ur the best"
@owenfoster3257,"All the comments about &quot;this is a terrible apology, this is not an apology.&quot; NO, IT&#39;S NOT MEANT TO BE. She&#39;s standing up against cancel culture.  It&#39;s the bravest move she&#39;s ever made.  Good on her."
@thea2174,"just delete ur account and go off the grid atp"
@karanicole8086,"COLLEEN I LOVE YOU"
@tcutugno8175,"ur weird"
@savvy_socialist74,"COMMON WHITE WOMEN MOMENT"
@bykcketsy,"COLLEEN I LOVE YOUUUUUUUUUU. FUCK THESE PEOPLE. YOU CANT SAY IT SO I WILL. FUCK EM. KEEP DOING YOU AND MAKING PEOPLE LIKE ME SMILE AND HAPPY ! I lOVE YOU SO MUCH."
@amyburdick6647,"<a href=""http://www.youtube.com/results?search_query=%23teamcolleen"">#TEAMCOLLEEN</a> ❤❤❤❤❤"
@jennifergross3506,"I am so sorry you are caught up in this toxic energy that is floating around right now, and it is just making me so sad for you and your beautiful family. Love and Light and Healing Energy to you all."
@thej.r.lockechannel2521,"Yea, you’re screwed.<br><br>Not even one “I’m sorry.”<br><br>What the hell is wrong with you??!!!"
@gvenone,"You&#39;re not serious what the fuck is this"
@b3aster123,"For what it&#39;s worth, I do not think you&#39;re malicious."
@Gabriel-fi6wh,"i love you so much for this"
@sarahfox6551,"Can&#39;t cancel Colleen, she&#39;s a genius and wanted to be in touch and cool with her fans. Everyone relax."
@fredos8170,"THIS IS AWFUL"
@daisy10lg,"I love you Colleen!!! Hang in there ❤"
@user-eo8ve9pl8y,"Honestly hun you are brave to have comments on 😂😂😂<br><br>She wants that last pay check frfr"
@elisabethgallagher6015,"Colleen stay strong people make mistakes and thats ok. Love u and its good to see u again on our screens we&#39;ve missed u"
@lowlyfe7917,"girl don’t u have 3 kids to go raise put the uke down and go be a mom omg this video is so tastelessss"
@mollybrown2820,"no way 😭"
@catsthatsmokemeth,"This is in bad taste"
@lunadarkness4280,"Uhh Colleen, I don’t think this is the best way to respond… I was a fan and now I don’t know if I can still like you"
@brechase2984,🍅🍅🍅🍅
@StellaGomezVEVO,GIRLSJDKDH
@rubysparkles5789,LMAOOOO
@laurenkohl413,"so insanely tone-deaf"
@annagiddens9269,"First of all, apolgies should never be about YOU. It’s not for your “defense” it’s for the people you HURT to be able to get through this. And “PG13” is not a 18+ show. The girl you spread her legs on the stage at 16 while she was wearing no pants is not 13+. The apologies are for people like her. You are over 30. I’ve been a fan of you for years, but this is sickening."
@batkat0,Ooooooooof
@enakisorets9294,"Don’t pay attention to any of these haters! I absolutely loved the song and agree with the words in it! It was so nice to see your face! Stay strong! You know the real fans and the real people who aren’t herd followers support you and wish you the best! <br>Waiting for you to come back and miss your vlogs! ❤"
@thea2174,"and the song isn’t even good .. girl"
@vinyls_on_hold9458,"Girl be fucking for real"
@azariahroque3806,"not her saying exactly what y’all would say, everyone makes mistakes &amp; if you are attacking her for her past.. u are bored with your own life."
@masolie,"She only feels sorry for herself. What about the affected children?! Not an ounce of accountability in this „apology“ video…"
@gramsci1094,"this is embarrisng"
@hallieslapzz,"I’m kinda half and half on if Colleen allegations are real but one thing I do want to say is why didn’t she post this video on her main channel this channel has been like her safe place and she just introduced it to almost all of her haters and doesn’t she want more people to like know her opinion on this matter"
@1997thatperson,LMAOOOO??????
@mxa_.,"Aww thanks but we don&#39;t forgive you ❤❤❤"
@drumaddict26atGmail,"i think staying quite would have been better than this honestly.. making it into a corny song when the allegations have to do with kids."
@bhaelyn,"this is NOT REAL LMAOOOO"
@cathicar,"Are you kidding me"
@caitlynn1465,"ur so weird omg"
@isabelbarbosa826,❤
@katielee517,"This is so insulting to the victims........."
@michaelb.8053,"Huh…that’s one way to respond about being a p*dophile"
@k-lou.,"What in the millennial"
@TheNaturalIntrovert,"I have no idea what’s going on here, but…my heart! This was a great video. I love the words and the music. It’s all so good.  I hope you get through whatever you’re going through ❤"
@ieskela,"bro really pulled out the musical instrument lmaooo"
@kooly8538,"Are you kidding me"
@sophie-ug8hq,"girl what the fuck is this"
@DaniBee2900,"YO WHAT THE FUCK IS THIS LMFAOOOO"
@icoquereau,"oof. I&#39;ve never seen a Miranda yt vid. I saw you on Comedians in Cars...I couldn&#39;t finish it because I didn&#39;t get the shtick. I did see your pregnancy story videos, tho. This &quot;apology&quot; is pretty abysmal. As a mom and big-time content creator, don&#39;t be sorry, be proactive. Create a commitee of creators to make regulations to protect children on and off all platforms. YT is the wild west. This was a waste of your time."
@byebyealex111,"how can someone be this tone deaf..."
@junounooxenfree,"BOO BOOO 🍅🍅🍅🍅"
@frnk708,"Idk if there&#39;s a NOT creepy way to be messaging young fans lol..."
@yazvaz613,"I can&#39;t believe this is real omg"
@carriehunt6196,"Colleen you still have people that love you! Please know that! ❤"
@chelsea_kunz,"what part of the song is about when u killed ur dog"
@sarahmarston2630,"You did change my mind, for the worse. Listen to your team."
@livandersson9422,"what the fuck is this 😭"
@alishadake4287,"The fact that you can here that she is trying not to cry talking about this is what you need to here she is taking accountability and realizing her actions she hasn’t done them in the longest time and that was never her freaking intention so if you’ve been a fan for a long time you should know that."
@vanessssaa,"Not a fucking ukulele lmfao"
@kearraandre9914,"Oh Colleen :s"
@biggiecheese4308,"this is weird as hell lol."
@meganparsons8637,"Keep going Colleen I believe in you still"
@Flowergothic,"<b>Lmao get bent</b>"
@aguilae333,"she’s a psychopath omg"
@rebekahsalcido8430,"Omg.. no way it&#39;s real.. •-•"
@aidavelic3713,"Could&#39;ve just said this without the ukulele and singing..."
@1997thatperson,"B IF YOU DONT- 😂😂😂😂😭😭😭😭😭💀💀💀💀💀"
@kaceydelrey,"The fact that these allegations are soooo dense. Good job colleen fuck these attention seekers. The mistake was ever interacting fans with more than a thank you ."
@mackenzieanderson-fb5we,"YOU SHOULDVE LISTENED TO THE PR TEAM GIRL😭"
@themishka25,"Come on here to take accountability? Good one! Hahah you are indeed a comedian."
@brianorton8204,"Dude. Get off YouTube and get help. It’s over. Just stop."
@nealcaffrey2562,"I was here before everyone else was."
@newworldorder5315,SMH
@malbrad20,"I&#39;ve missed your beautiful face I&#39;m so sorry you are going through this! People can be so heartless 💔  I hope to see you back 🙏"
@Jewels1357,"Yaaaas queen! Give us nothing 🥰"
@karine_c3727,"I love Colleen and I stand by her. I know she did already made a video and explained. When people tries to get clouts by destroying others reputation, that is when I draw the line. <br>She made her mistakes, she did account for them years ago but the need if some to get their 15 min of fame, and likes, and new subscribers under slander and messing up someone&#39;s life, carreer and mental health... I cannot agree. I will continue to support her. <br>Colleen, I senserely hope that you are getting mental help that you need at this moment. Be safe 🙌🏻💪🏻 be strong!!"
@yourmumsy,"oh my fucking god.<br>two fucking weeks to have this as an &quot;apology&quot;<br>fucking bullshit."
@tiad6223,"Girl you could have saved yourself..."
@southphoenix,"girl shut up"
@lita313,"Instead of listening to your team, you come out with this tone deaf song. There&#39;s videos of you talking about inappropriate things with CHILDREN! I&#39;m saying this as someone who said and did manipulative shit to others and I thank goodness I had friends who chewed me out. I am telling you now, Collen, you are the wrong. You should not have been talking to children and you&#39;re not taking accountability. You did this video where you sing about how you feel horrible and then you stopped to talking about how people are toxic and how they don&#39;t care about your apologies. It comes off as high and mighty, manipulative as well as flippant. You would have been better not saying anything because now you&#39;ve made sure that everyone knows you don&#39;t care and aren&#39;t taking it seriously."
@cheezer_1585,what
@-kj._.ma-,"LMAOOO WHAT IS THIS?!?!?!"
@Stoner075C,"What bullshit, an exemplary non apology and hand washing."
@rickypereira7047,"I LOVE YOU COLLEENNN THIS WAS AMAZING !"
@emaniiiii,GIRLBYEEEE😭😭
@kenziefahy,"girl......be fr"
@alexandriabaugh2495,"You’re disturbing. Get help."
@salicylicacid9945,"Okay I must say this is creative"
@ellejae8324,"Incredibly disappointed in you. You had us all fooled that you were a good person. I guess this proves you are not. Sad."
@albertoid,"Is this an ITYSL sketch?"
@averyscosmetics4993,"Who the fuck is having fun? The kids that went through this are literally traumatized and the rest of the public who has seen and heard about it are disgusted by you."
@camilaandrea2180,"Are we on the subway??? What the fuck!"
@atomicghost7486,"Girl what the actual hell is wrong with you??"
@kaymekla5,Pathetic.
@charlotteevans9402,"Making a situation this serious into a jokey song is just so tone deaf? Yikes"
@ExitLight,❤❤❤❤❤❤
@sadlysammie4165,"Oh that’s not…"
@ughh.abigail,"the definition of tone deaf, literally"
@alexandriaytuarte7656,"Gabbie Hanna is that you?"
@ChelseaSnakes,"LMAO HUH"
@beamarshall8981,"A good person wouldn&#39;t make this video"
@dragonseeker5474,"You’re kidding"
@mofufuffuu,"nasty vile woman"
@kdmgabs4599,"What 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭"
@wooyo2018,"smh,take account for it instead of whatever is this"
